variable,x,y
bio05,201.7,5.805700311611872E-6
bio05,202.1152,5.805700311611872E-6
bio05,202.5304,5.805700311611872E-6
bio05,202.94559999999998,5.805700311611872E-6
bio05,203.36079999999998,5.805700311611872E-6
bio05,203.77599999999998,5.805700311611872E-6
bio05,204.19119999999998,5.805700311611872E-6
bio05,204.60639999999998,5.805700311611872E-6
bio05,205.02159999999998,5.805700311611872E-6
bio05,205.43679999999998,5.805700311611872E-6
bio05,205.85199999999998,5.805700311611872E-6
bio05,206.2672,5.805700311611872E-6
bio05,206.6824,5.805700311611872E-6
bio05,207.0976,5.805700311611872E-6
bio05,207.5128,5.805700311611872E-6
bio05,207.928,5.805700311611872E-6
bio05,208.3432,5.805700311611872E-6
bio05,208.7584,5.805700311611872E-6
bio05,209.1736,5.805700311611872E-6
bio05,209.5888,5.805700311611872E-6
bio05,210.004,5.805700311611872E-6
bio05,210.4192,5.805700311611872E-6
bio05,210.8344,5.805700311611872E-6
bio05,211.2496,5.805700311611872E-6
bio05,211.66479999999999,5.805700311611872E-6
bio05,212.07999999999998,5.805700311611872E-6
bio05,212.49519999999998,5.805700311611872E-6
bio05,212.91039999999998,5.805700311611872E-6
bio05,213.32559999999998,5.805700311611872E-6
bio05,213.74079999999998,5.805700311611872E-6
bio05,214.15599999999998,5.805700311611872E-6
bio05,214.57119999999998,5.805700311611872E-6
bio05,214.9864,5.805700311611872E-6
bio05,215.4016,5.805700311611872E-6
bio05,215.8168,5.805700311611872E-6
bio05,216.232,5.805700311611872E-6
bio05,216.6472,5.805700311611872E-6
bio05,217.0624,5.805700311611872E-6
bio05,217.4776,5.805700311611872E-6
bio05,217.8928,5.805700311611872E-6
bio05,218.308,5.805700311611872E-6
bio05,218.7232,5.805700311611872E-6
bio05,219.1384,5.900804353586864E-6
bio05,219.5536,6.1955765886523295E-6
bio05,219.9688,6.505062174255727E-6
bio05,220.384,6.830019628978334E-6
bio05,220.79919999999998,7.171197466959711E-6
bio05,221.21439999999998,7.529431059083436E-6
bio05,221.62959999999998,7.905546226538718E-6
bio05,222.04479999999998,8.300463377963752E-6
bio05,222.45999999999998,8.715108378964942E-6
bio05,222.87519999999998,9.150450750894379E-6
bio05,223.29039999999998,9.60755642154254E-6
bio05,223.7056,1.0087477676279377E-5
bio05,224.1208,1.0591391401248984E-5
bio05,224.536,1.1120458111690823E-5
bio05,224.9512,1.1675972928060219E-5
bio05,225.3664,1.2259215509402566E-5
bio05,225.7816,1.2871615581389051E-5
bio05,226.1968,1.3514582860807423E-5
bio05,226.612,1.4189693501975853E-5
bio05,227.0272,1.4898527297191322E-5
bio05,227.4424,1.5642743164789863E-5
bio05,227.8576,1.6424161003669724E-5
bio05,228.2728,1.724458343232982E-5
bio05,228.688,1.8106018615071662E-5
bio05,229.1032,1.9010452888323925E-5
bio05,229.51839999999999,1.996009814320132E-5
bio05,229.93359999999998,2.095714444294572E-5
bio05,230.34879999999998,2.200403469032608E-5
bio05,230.76399999999998,2.310321906406898E-5
bio05,231.17919999999998,2.4257265977212228E-5
bio05,231.59439999999998,2.5469003958278336E-5
bio05,232.00959999999998,2.6741225156001747E-5
bio05,232.4248,2.8077041861251928E-5
bio05,232.84,2.9479533623089083E-5
bio05,233.2552,3.0952134693507105E-5
bio05,233.6704,3.249823930673301E-5
bio05,234.0856,3.4121629141736776E-5
bio05,234.5008,3.582604767871089E-5
bio05,234.916,3.761566404136829E-5
bio05,235.3312,3.949468009523116E-5
bio05,235.7464,4.146747596678324E-5
bio05,236.1616,4.353889016783796E-5
bio05,236.5768,4.571368845063262E-5
bio05,236.992,4.799720045411959E-5
bio05,237.4072,5.0394686695653945E-5
bio05,237.8224,5.291201523505151E-5
bio05,238.2376,5.555498137255199E-5
bio05,238.65279999999998,5.8330064348410815E-5
bio05,239.06799999999998,6.124364881543443E-5
bio05,239.4832,6.430287612602115E-5
bio05,239.89839999999998,6.751489854650572E-5
bio05,240.3136,7.08872321411036E-5
bio05,240.72879999999998,7.442813512170687E-5
bio05,241.144,7.814575656084344E-5
bio05,241.55919999999998,8.204919868148863E-5
bio05,241.9744,8.614745456725359E-5
bio05,242.3896,9.045055048773065E-5
bio05,242.8048,9.496839629719034E-5
bio05,243.22,9.971206600312144E-5
bio05,243.6352,1.0469245899002999E-4
bio05,244.0504,1.099217843147926E-4
bio05,244.4656,1.1541228741407394E-4
bio05,244.8808,1.2117678124923259E-4
bio05,245.296,1.2722938845399767E-4
bio05,245.7112,1.335840206593275E-4
bio05,246.1264,1.4025626296643168E-4
bio05,246.5416,1.472614676458761E-4
bio05,246.9568,1.546167623018846E-4
bio05,247.37199999999999,1.6233907081186771E-4
bio05,247.78719999999998,1.7044732521753758E-4
bio05,248.2024,1.7896016652230173E-4
bio05,248.61759999999998,1.8789841851685196E-4
