variable,x,y
bio10,148.6,4.92940444019041E-6
bio10,148.94559999999998,4.92940444019041E-6
bio10,149.2912,4.92940444019041E-6
bio10,149.6368,4.92940444019041E-6
bio10,149.98239999999998,4.92940444019041E-6
bio10,150.328,4.92940444019041E-6
bio10,150.6736,4.92940444019041E-6
bio10,151.01919999999998,4.92940444019041E-6
bio10,151.3648,4.92940444019041E-6
bio10,151.7104,4.92940444019041E-6
bio10,152.05599999999998,4.92940444019041E-6
bio10,152.4016,4.92940444019041E-6
bio10,152.7472,4.92940444019041E-6
bio10,153.09279999999998,4.92940444019041E-6
bio10,153.4384,4.92940444019041E-6
bio10,153.784,4.92940444019041E-6
bio10,154.12959999999998,4.92940444019041E-6
bio10,154.4752,4.92940444019041E-6
bio10,154.8208,4.92940444019041E-6
bio10,155.16639999999998,4.92940444019041E-6
bio10,155.512,4.92940444019041E-6
bio10,155.8576,4.92940444019041E-6
bio10,156.20319999999998,4.92940444019041E-6
bio10,156.5488,4.92940444019041E-6
bio10,156.8944,4.92940444019041E-6
bio10,157.24,4.92940444019041E-6
bio10,157.5856,4.92940444019041E-6
bio10,157.9312,4.92940444019041E-6
bio10,158.27679999999998,4.92940444019041E-6
bio10,158.6224,4.92940444019041E-6
bio10,158.968,4.92940444019041E-6
bio10,159.31359999999998,4.92940444019041E-6
bio10,159.6592,4.92940444019041E-6
bio10,160.0048,4.92940444019041E-6
bio10,160.35039999999998,4.92940444019041E-6
bio10,160.696,4.92940444019041E-6
bio10,161.0416,4.92940444019041E-6
bio10,161.3872,4.92940444019041E-6
bio10,161.7328,4.92940444019041E-6
bio10,162.0784,4.92940444019041E-6
bio10,162.42399999999998,4.92940444019041E-6
bio10,162.7696,4.92940444019041E-6
bio10,163.1152,4.982182872481644E-6
bio10,163.4608,5.144142960489262E-6
bio10,163.8064,5.311705535859801E-6
bio10,164.152,5.485074325406458E-6
bio10,164.4976,5.664468972099712E-6
bio10,164.8432,5.8500941122474615E-6
bio10,165.1888,6.042185759724816E-6
bio10,165.5344,6.2409808379015885E-6
bio10,165.88,6.446734914788976E-6
bio10,166.2256,6.659685368504142E-6
bio10,166.57119999999998,6.880106866447022E-6
bio10,166.9168,7.108275440259604E-6
bio10,167.26239999999999,7.344487130467314E-6
bio10,167.608,7.5890188782068435E-6
bio10,167.9536,7.842189916118514E-6
bio10,168.29919999999998,8.104321750579402E-6
bio10,168.6448,8.375758625334129E-6
bio10,168.9904,8.656824320496526E-6
bio10,169.33599999999998,8.947889000410214E-6
bio10,169.6816,9.249327376892325E-6
bio10,170.0272,9.56154144660104E-6
bio10,170.37279999999998,9.884906830848195E-6
bio10,170.7184,1.0219857358606532E-5
bio10,171.064,1.05668277683435E-5
bio10,171.40959999999998,1.0926288268819917E-5
bio10,171.7552,1.1298677236482035E-5
bio10,172.1008,1.1684498531394638E-5
bio10,172.44639999999998,1.208426238008542E-5
bio10,172.792,1.2498515388870146E-5
bio10,173.1376,1.2927769603265915E-5
bio10,173.48319999999998,1.3372615285334177E-5
bio10,173.8288,1.383364633511519E-5
bio10,174.1744,1.4311479390016757E-5
bio10,174.51999999999998,1.4806780200160574E-5
bio10,174.8656,1.5320170859922655E-5
bio10,175.2112,1.5852368960622698E-5
bio10,175.55679999999998,1.640409573155921E-5
bio10,175.9024,1.69761260622181E-5
bio10,176.248,1.75691948243184E-5
bio10,176.59359999999998,1.818413511500694E-5
bio10,176.9392,1.882179276435636E-5
bio10,177.2848,1.9483077267068438E-5
bio10,177.63039999999998,2.0168845367152244E-5
bio10,177.976,2.088007386191748E-5
bio10,178.3216,2.161775773856789E-5
bio10,178.66719999999998,2.238295564893633E-5
bio10,179.0128,2.3176675313152373E-5
bio10,179.3584,2.4000062694540247E-5
bio10,179.70399999999998,2.485428012732882E-5
bio10,180.0496,2.574057361925952E-5
bio10,180.3952,2.6660121875465848E-5
bio10,180.74079999999998,2.7614270948106423E-5
bio10,181.0864,2.8604385079233907E-5
bio10,181.432,2.9631924917339347E-5
bio10,181.7776,3.0698276532348245E-5
bio10,182.1232,3.180501880706288E-5
bio10,182.4688,3.295375427114777E-5
bio10,182.81439999999998,3.4146196412621066E-5
bio10,183.16,3.538397868396714E-5
bio10,183.5056,3.666895645437762E-5
bio10,183.8512,3.800300692091696E-5
bio10,184.1968,3.938809095416218E-5
bio10,184.5424,4.0826307667884976E-5
bio10,184.88799999999998,4.231966158840805E-5
bio10,185.2336,4.387041917652823E-5
bio10,185.5792,4.5480886910809204E-5
bio10,185.9248,4.7153538616839796E-5
bio10,186.2704,4.8890728066908196E-5
bio10,186.61599999999999,5.069513281341642E-5
bio10,186.96159999999998,5.2569466788554564E-5
bio10,187.3072,5.4516644013347104E-5
bio10,187.65279999999998,5.653944026562385E-5
bio10,187.9984,5.864100603503175E-5
bio10,188.344,6.082454274292104E-5
bio10,188.68959999999998,6.309348827926442E-5
bio10,189.03519999999997,6.545110954903066E-5
bio10,189.3808,6.790113548049703E-5
bio10,189.72639999999998,7.04473422956653E-5
bio10,190.072,7.309377542696893E-5
bio10,190.4176,7.584431295981631E-5
bio10,190.76319999999998,7.870333502069116E-5
bio10,191.10879999999997,8.167530904756859E-5
bio10,191.4544,8.476501534460112E-5
bio10,191.79999999999998,8.79770377650857E-5
bio10,192.1456,9.13165567908436E-5
bio10,192.4912,9.478884749114513E-5
bio10,192.83679999999998,9.83995632850565E-5
bio10,193.18239999999997,1.0215411748504266E-4
bio10,193.528,1.0605865099932998E-4
bio10,193.8736,1.1011939932359383E-4
