variable,x,y
bio10,145.3,8.743525540921837E-6
bio10,145.6528,8.743525540921837E-6
bio10,146.00560000000002,8.743525540921837E-6
bio10,146.35840000000002,8.743525540921837E-6
bio10,146.71120000000002,8.743525540921837E-6
bio10,147.06400000000002,8.743525540921837E-6
bio10,147.41680000000002,8.743525540921837E-6
bio10,147.7696,8.743525540921837E-6
bio10,148.1224,8.743525540921837E-6
bio10,148.4752,8.743525540921837E-6
bio10,148.828,8.743525540921837E-6
bio10,149.1808,8.743525540921837E-6
bio10,149.5336,8.743525540921837E-6
bio10,149.8864,8.743525540921837E-6
bio10,150.2392,8.743525540921837E-6
bio10,150.592,8.743525540921837E-6
bio10,150.94480000000001,8.743525540921837E-6
bio10,151.29760000000002,8.743525540921837E-6
bio10,151.65040000000002,8.743525540921837E-6
bio10,152.00320000000002,8.743525540921837E-6
bio10,152.35600000000002,8.743525540921837E-6
bio10,152.7088,8.743525540921837E-6
bio10,153.0616,8.743525540921837E-6
bio10,153.4144,8.743525540921837E-6
bio10,153.7672,8.743525540921837E-6
bio10,154.12,8.743525540921837E-6
bio10,154.4728,8.743525540921837E-6
bio10,154.8256,8.743525540921837E-6
bio10,155.1784,8.743525540921837E-6
bio10,155.5312,8.743525540921837E-6
bio10,155.88400000000001,8.743525540921837E-6
bio10,156.23680000000002,8.743525540921837E-6
bio10,156.58960000000002,8.743525540921837E-6
bio10,156.94240000000002,8.743525540921837E-6
bio10,157.29520000000002,8.743525540921837E-6
bio10,157.64800000000002,8.743525540921837E-6
bio10,158.0008,8.743525540921837E-6
bio10,158.3536,8.743525540921837E-6
bio10,158.7064,8.743525540921837E-6
bio10,159.0592,8.743525540921837E-6
bio10,159.412,8.743525540921837E-6
bio10,159.7648,8.743525540921837E-6
bio10,160.1176,8.830615115584806E-6
bio10,160.4704,9.097518159251194E-6
bio10,160.8232,9.3730996013619E-6
bio10,161.17600000000002,9.65766048466321E-6
bio10,161.52880000000002,9.951509127859026E-6
bio10,161.88160000000002,1.0254982043989003E-5
bio10,162.2344,1.0568385732767638E-5
bio10,162.5872,1.089207853510743E-5
bio10,162.94,1.1226417882426176E-5
bio10,163.2928,1.1571775758056901E-5
bio10,163.6456,1.1928536878258456E-5
bio10,163.9984,1.2297099601710215E-5
bio10,164.3512,1.2677876839006785E-5
bio10,164.704,1.3071298781142104E-5
bio10,165.0568,1.3477809261530638E-5
bio10,165.4096,1.389788758388022E-5
bio10,165.7624,1.4331975762615912E-5
bio10,166.11520000000002,1.4780586752749514E-5
bio10,166.46800000000002,1.524423532828223E-5
bio10,166.82080000000002,1.5723455362604E-5
bio10,167.17360000000002,1.6218797100009397E-5
bio10,167.52640000000002,1.6730837160139345E-5
bio10,167.8792,1.72601685335394E-5
bio10,168.232,1.7807409676606767E-5
bio10,168.5848,1.8373200873611495E-5
bio10,168.9376,1.8958231521537527E-5
bio10,169.2904,1.9563141904654913E-5
bio10,169.6432,2.018867053266149E-5
bio10,169.996,2.0835559553233907E-5
bio10,170.3488,2.150458203686867E-5
bio10,170.7016,2.2196532881935127E-5
bio10,171.05440000000002,2.2912245185580105E-5
bio10,171.40720000000002,2.365257932979148E-5
bio10,171.76000000000002,2.441842843836639E-5
bio10,172.1128,2.521072019590065E-5
bio10,172.4656,2.6030455046566203E-5
bio10,172.8184,2.687855885596946E-5
