variable,x,y
bio10,145.3,1.827190317271743E-5
bio10,145.6528,1.827190317271743E-5
bio10,146.00560000000002,1.827190317271743E-5
bio10,146.35840000000002,1.827190317271743E-5
bio10,146.71120000000002,1.827190317271743E-5
bio10,147.06400000000002,1.827190317271743E-5
bio10,147.41680000000002,1.827190317271743E-5
bio10,147.7696,1.827190317271743E-5
bio10,148.1224,1.827190317271743E-5
bio10,148.4752,1.827190317271743E-5
bio10,148.828,1.827190317271743E-5
bio10,149.1808,1.827190317271743E-5
bio10,149.5336,1.827190317271743E-5
bio10,149.8864,1.827190317271743E-5
bio10,150.2392,1.827190317271743E-5
bio10,150.592,1.827190317271743E-5
bio10,150.94480000000001,1.827190317271743E-5
bio10,151.29760000000002,1.827190317271743E-5
bio10,151.65040000000002,1.827190317271743E-5
bio10,152.00320000000002,1.827190317271743E-5
bio10,152.35600000000002,1.827190317271743E-5
bio10,152.7088,1.827190317271743E-5
bio10,153.0616,1.827190317271743E-5
bio10,153.4144,1.827190317271743E-5
bio10,153.7672,1.827190317271743E-5
bio10,154.12,1.827190317271743E-5
bio10,154.4728,1.827190317271743E-5
bio10,154.8256,1.827190317271743E-5
bio10,155.1784,1.827190317271743E-5
bio10,155.5312,1.827190317271743E-5
bio10,155.88400000000001,1.827190317271743E-5
bio10,156.23680000000002,1.827190317271743E-5
bio10,156.58960000000002,1.827190317271743E-5
bio10,156.94240000000002,1.827190317271743E-5
bio10,157.29520000000002,1.827190317271743E-5
bio10,157.64800000000002,1.827190317271743E-5
bio10,158.0008,1.827190317271743E-5
bio10,158.3536,1.827190317271743E-5
bio10,158.7064,1.827190317271743E-5
bio10,159.0592,1.827190317271743E-5
bio10,159.412,1.827190317271743E-5
bio10,159.7648,1.827190317271743E-5
bio10,160.1176,1.8448354239808396E-5
bio10,160.4704,1.898869959404692E-5
bio10,160.8232,1.954595609277021E-5
bio10,161.17600000000002,2.0120682165725157E-5
bio10,161.52880000000002,2.0713458070531487E-5
bio10,161.88160000000002,2.132490772055462E-5
bio10,162.2344,2.1955596821499057E-5
bio10,162.5872,2.26061929424759E-5
bio10,162.94,2.327735819562804E-5
bio10,163.2928,2.3969780158950016E-5
bio10,163.6456,2.4684170057298616E-5
bio10,163.9984,2.5421260943403468E-5
bio10,164.3512,2.6181814973824657E-5
bio10,164.704,2.6966617951984517E-5
bio10,165.0568,2.7776488423114643E-5
bio10,165.4096,2.8612303140107542E-5
bio10,165.7624,2.9474866096279584E-5
bio10,166.11520000000002,3.03651177091524E-5
bio10,166.46800000000002,3.128399112029001E-5
bio10,166.82080000000002,3.223246312700212E-5
bio10,167.17360000000002,3.321152689750306E-5
bio10,167.52640000000002,3.422223380766809E-5
bio10,167.8792,3.5265653423266485E-5
bio10,168.232,3.634289896581322E-5
bio10,168.5848,3.7455130950547755E-5
bio10,168.9376,3.8603593566222116E-5
bio10,169.2904,3.9789425500202924E-5
bio10,169.6432,4.101395825273357E-5
bio10,169.996,4.227851968607865E-5
bio10,170.3488,4.358448859420605E-5
bio10,170.7016,4.4933291064808145E-5
bio10,171.05440000000002,4.632640411728062E-5
bio10,171.40720000000002,4.7765355702722445E-5
bio10,171.76000000000002,4.925173561787233E-5
bio10,172.1128,5.078718822915107E-5
bio10,172.4656,5.237347795628011E-5
bio10,172.8184,5.4012241889722645E-5
bio10,173.1712,5.570536814047955E-5
bio10,173.524,5.745475573348813E-5
bio10,173.8768,5.92623655393254E-5
bio10,174.2296,6.113023846410215E-5
bio10,174.5824,6.306047725956887E-5
bio10,174.9352,6.505526835098863E-5
bio10,175.288,6.711688183713704E-5
bio10,175.6408,6.924767512828112E-5
bio10,175.99360000000001,7.145016570575535E-5
bio10,176.34640000000002,7.372669642791152E-5
bio10,176.69920000000002,7.60799739509821E-5
bio10,177.05200000000002,7.851271948311478E-5
bio10,177.40480000000002,8.102774881990626E-5
bio10,177.7576,8.362797962035984E-5
bio10,178.1104,8.631643140688539E-5
bio10,178.4632,8.909624739317223E-5
bio10,178.816,9.197067993227392E-5
bio10,179.1688,9.494311234448105E-5
bio10,179.5216,9.801717533264309E-5
bio10,179.8744,1.0119623766513541E-4
bio10,180.2272,1.0448419925523922E-4
bio10,180.58,1.0788496001623571E-4
bio10,180.93280000000001,1.114025799324736E-4
bio10,181.28560000000002,1.1504126450745389E-4
bio10,181.6384,1.1880537931574509E-4
bio10,181.9912,1.226994500029832E-4
bio10,182.344,1.267281622858718E-4
bio10,182.6968,1.308964128838852E-4
bio10,183.0496,1.352094259345904E-4
bio10,183.4024,1.3967209088150412E-4
bio10,183.7552,1.4429003931581974E-4
bio10,184.108,1.4906890282873064E-4
bio10,184.4608,1.5401457494590431E-4
bio10,184.8136,1.591331383679062E-4
bio10,185.1664,1.6443090862594545E-4
bio10,185.5192,1.6991444863379002E-4
bio10,185.872,1.755905686877668E-4
bio10,186.22480000000002,1.8146632646676153E-4
bio10,186.57760000000002,1.875493471743539E-4
bio10,186.93040000000002,1.9384673214517534E-4
bio10,187.28320000000002,2.0036663045175374E-4
bio10,187.636,2.0711727847810835E-4
bio10,187.9888,2.1410718909464777E-4
bio10,188.3416,2.2134522441774607E-4
bio10,188.6944,2.288405958097428E-4
bio10,189.0472,2.366028493270278E-4
bio10,189.4,2.446419093757868E-4
bio10,189.7528,2.529684279579669E-4
bio10,190.1056,2.6159241679124534E-4
bio10,190.4584,2.70525342784822E-4
bio10,190.8112,2.797787601593882E-4
bio10,191.164,2.893646596930921E-4
bio10,191.5168,2.992954687215388E-4
bio10,191.8696,3.0958419665694237E-4
bio10,192.2224,3.202442603651434E-4
bio10,192.5752,3.312896587885916E-4
bio10,192.928,3.4273488563485444E-4
bio10,193.2808,3.545955696608871E-4
bio10,193.6336,3.668863791972399E-4
bio10,193.9864,3.7962410715408623E-4
bio10,194.3392,3.92825691960752E-4
bio10,194.692,4.0650874143466353E-4
bio10,195.0448,4.206915036775172E-4
bio10,195.3976,4.3539307080209255E-4
bio10,195.7504,4.5063314610160887E-4
bio10,196.10320000000002,4.6643230598419905E-4
bio10,196.45600000000002,4.8281188355758786E-4
bio10,196.80880000000002,4.997948417440057E-4
bio10,197.1616,5.174028337933123E-4
bio10,197.51440000000002,5.356604815460742E-4
bio10,197.8672,5.545928725041449E-4
bio10,198.22,5.742257926613092E-4
bio10,198.5728,5.945863667875528E-4
bio10,198.9256,6.157025345601141E-4
bio10,199.2784,6.376035744324327E-4
bio10,199.6312,6.603196961805224E-4
bio10,199.984,6.838825065642595E-4
bio10,200.3368,7.083259406499565E-4
bio10,200.6896,7.336818962357938E-4
bio10,201.04240000000001,7.599870441481471E-4
bio10,201.3952,7.872782298363745E-4
bio10,201.748,8.15593870356679E-4
bio10,202.1008,8.449738961644471E-4
bio10,202.4536,8.75459925737232E-4
bio10,202.8064,9.070951491594315E-4
bio10,203.1592,9.399245609529316E-4
bio10,203.512,9.739950182847679E-4
bio10,203.8648,0.0010093566961586475
bio10,204.2176,0.0010460573248565197
bio10,204.5704,0.001084150979295373
bio10,204.9232,0.0011236926075071096
bio10,205.276,0.001164739252999425
bio10,205.6288,0.0012073505204170942
bio10,205.98160000000001,0.001251587993465364
bio10,206.33440000000002,0.0012975161662325263
bio10,206.68720000000002,0.0013452019775286317
bio10,207.04000000000002,0.0013947152765467763
bio10,207.3928,0.0014461306855082512
bio10,207.7456,0.0014995195670053363
bio10,208.0984,0.001554962364025414
bio10,208.4512,0.0016125412657856941
bio10,208.804,0.0016723413718864322
bio10,209.1568,0.0017344512743875384
bio10,209.5096,0.0017989635234698653
bio10,209.8624,0.0018659740453585982
bio10,210.21519999999998,0.0019355830736458302
bio10,210.56799999999998,0.002007894916459918
bio10,210.92079999999999,0.002083021216094494
bio10,211.2736,0.002161068608984351
bio10,211.6264,0.0022421579342335463
bio10,211.9792,0.002326411660760641
bio10,212.332,0.0024139571469277143
bio10,212.6848,0.0025049278046935797
bio10,213.0376,0.00259946146979928
bio10,213.3904,0.0026977024972438812
bio10,213.7432,0.002799800829961896
bio10,214.096,0.0029059129301458597
bio10,214.4488,0.0030162062030285597
bio10,214.8016,0.003130840603262186
bio10,215.1544,0.0032499972730875015
bio10,215.5072,0.0033738603815436363
bio10,215.86,0.0035026210825890303
bio10,216.21280000000002,0.0036364791449159384
bio10,216.56560000000002,0.0037756422534585
bio10,216.91840000000002,0.003920326475054026
bio10,217.27120000000002,0.0040707578882575035
bio10,217.624,0.004227170255035162
bio10,217.9768,0.004389815963804722
bio10,218.3296,0.004558935295790434
bio10,218.6824,0.004734800662845373
bio10,219.0352,0.0049176886677742004
bio10,219.38799999999998,0.005107886157929897
bio10,219.74079999999998,0.0053056939505040646
bio10,220.0936,0.005511423572897911
bio10,220.4464,0.005725400522351265
bio10,220.7992,0.005947963334619999
bio10,221.152,0.006179464515298605
bio10,221.5048,0.0064202831126749516
bio10,221.8576,0.006670780014246702
bio10,222.2104,0.006931364070624113
bio10,222.5632,0.007202450651675463
bio10,222.916,0.00748447235673666
bio10,223.2688,0.00777787808328867
bio10,223.6216,0.008083137683570385
bio10,223.9744,0.00840073823928833
bio10,224.3272,0.00873118918389082
bio10,224.68,0.00907501857727766
bio10,225.0328,0.009432792663574219
bio10,225.3856,0.00980505533516407
bio10,225.7384,0.010192417539656162
bio10,226.09120000000001,0.010595501400530338
bio10,226.44400000000002,0.011014953255653381
bio10,226.79680000000002,0.011451446451246738
bio10,227.14960000000002,0.01190568134188652
bio10,227.50240000000002,0.012378386221826077
bio10,227.8552,0.012870321050286293
bio10,228.208,0.013382273726165295
bio10,228.5608,0.013915088027715683
bio10,228.9136,0.014469573274254799
bio10,229.2664,0.015046638436615467
bio10,229.61919999999998,0.01564720645546913
bio10,229.97199999999998,0.01627223938703537
bio10,230.32479999999998,0.016922732815146446
bio10,230.67759999999998,0.017599724233150482
bio10,231.0304,0.018304292112588882
bio10,231.3832,0.019037555903196335
bio10,231.736,0.01980067789554596
bio10,232.0888,0.020594902336597443
bio10,232.4416,0.021421415731310844
