variable,x,y
bio16,33.5,1.260767703570309E-6
bio16,34.88,1.260767703570309E-6
bio16,36.26,1.260767703570309E-6
bio16,37.64,1.260767703570309E-6
bio16,39.019999999999996,1.260767703570309E-6
bio16,40.4,1.260767703570309E-6
bio16,41.78,1.260767703570309E-6
bio16,43.16,1.260767703570309E-6
bio16,44.54,1.260767703570309E-6
bio16,45.92,1.260767703570309E-6
bio16,47.3,1.260767703570309E-6
bio16,48.68,1.260767703570309E-6
bio16,50.06,1.260767703570309E-6
bio16,51.44,1.260767703570309E-6
bio16,52.82,1.260767703570309E-6
bio16,54.2,1.260767703570309E-6
bio16,55.58,1.260767703570309E-6
bio16,56.96,1.260767703570309E-6
bio16,58.34,1.260767703570309E-6
bio16,59.72,1.260767703570309E-6
bio16,61.1,1.260767703570309E-6
bio16,62.480000000000004,1.260767703570309E-6
bio16,63.86,1.260767703570309E-6
bio16,65.24,1.260767703570309E-6
bio16,66.62,1.260767703570309E-6
bio16,68.0,1.260767703570309E-6
bio16,69.38,1.260767703570309E-6
bio16,70.75999999999999,1.260767703570309E-6
bio16,72.14,1.260767703570309E-6
bio16,73.52000000000001,1.260767703570309E-6
bio16,74.9,1.260767703570309E-6
bio16,76.28,1.260767703570309E-6
bio16,77.66,1.260767703570309E-6
bio16,79.03999999999999,1.260767703570309E-6
bio16,80.42,1.260767703570309E-6
bio16,81.8,1.260767703570309E-6
bio16,83.18,1.260767703570309E-6
bio16,84.56,1.260767703570309E-6
bio16,85.94,1.260767703570309E-6
bio16,87.32,1.260767703570309E-6
bio16,88.7,1.260767703570309E-6
bio16,90.08,1.260767703570309E-6
bio16,91.46000000000001,1.2805736560039804E-6
bio16,92.84,1.341878032690147E-6
bio16,94.22,1.4061175761526101E-6
bio16,95.6,1.4734320075149299E-6
bio16,96.97999999999999,1.5439694607266574E-6
bio16,98.36,1.6178831856450415E-6
bio16,99.74,1.695335413387511E-6
bio16,101.12,1.776495878402784E-6
bio16,102.5,1.8615413637235179E-6
bio16,103.88,1.9506580883899005E-6
bio16,105.26,2.044041593762813E-6
bio16,106.64,2.1418950382212643E-6
bio16,108.02,2.2444330625148723E-6
bio16,109.4,2.351880311834975E-6
bio16,110.78,2.464470753693604E-6
bio16,112.16,2.5824519980233163E-6
bio16,113.54,2.7060802949563367E-6
bio16,114.92,2.83562735603482E-6
bio16,116.3,2.9713767162320437E-6
bio16,117.68,3.113623961326084E-6
bio16,119.06,3.262680820625974E-6
bio16,120.44,3.4188742574770004E-6
bio16,121.82,3.582544195523951E-6
bio16,123.2,3.754049430426676E-6
bio16,124.58,3.933766038244357E-6
bio16,125.96,4.122085101698758E-6
bio16,127.34,4.319419531384483E-6
bio16,128.72,4.526201792032225E-6
bio16,130.1,4.7428834477614146E-6
bio16,131.48000000000002,4.969935162080219E-6
bio16,132.86,5.207859430811368E-6
bio16,134.24,5.457173301692819E-6
bio16,135.62,5.718419743061531E-6
bio16,137.0,5.992175374558428E-6
bio16,138.38,6.279036824707873E-6
bio16,139.76,6.57962709738058E-6
bio16,141.14,6.894611033203546E-6
bio16,142.51999999999998,7.224673481687205E-6
bio16,143.9,7.570533398393309E-6
bio16,145.28,7.932953849376645E-6
bio16,146.66,8.312724276038352E-6
bio16,148.04000000000002,8.710670954314992E-6
bio16,149.42000000000002,9.127672456088476E-6
bio16,150.8,9.564636457071174E-6
bio16,152.18,1.002251428872114E-5
bio16,153.56,1.0502315490157343E-5
bio16,154.94,1.1005086889781523E-5
bio16,156.32,1.153192624769872E-5
bio16,157.7,1.208398043672787E-5
bio16,159.07999999999998,1.266246908926405E-5
bio16,160.45999999999998,1.3268650036479812E-5
bio16,161.84,1.3903842955187429E-5
bio16,163.22,1.4569451195711736E-5
bio16,164.6,1.5266921764123254E-5
bio16,165.98,1.5997775335563347E-5
bio16,167.36,1.6763622625148855E-5
bio16,168.74,1.756613164616283E-5
bio16,170.12,1.8407048628432676E-5
bio16,171.5,1.9288230760139413E-5
bio16,172.88,2.021159525611438E-5
bio16,174.26,2.117915209964849E-5
bio16,175.64,2.2193038603290915E-5
bio16,177.02,2.325545938219875E-5
bio16,178.4,2.4368726371903904E-5
bio16,179.78,2.5535298846079968E-5
bio16,181.16,2.675771429494489E-5
bio16,182.54,2.8038633899996057E-5
bio16,183.92,2.9380886189755984E-5
bio16,185.3,3.0787392461206764E-5
bio16,186.68,3.226121043553576E-5
bio16,188.06,3.380559428478591E-5
bio16,189.44,3.542391277733259E-5
bio16,190.82,3.711969475261867E-5
bio16,192.2,3.8896632759133354E-5
bio16,193.58,4.075865217600949E-5
bio16,194.96,4.270980571163818E-5
bio16,196.34,4.47543352493085E-5
bio16,197.72,4.689675188274123E-5
bio16,199.1,4.914172677672468E-5
bio16,200.48,5.149413846083917E-5
bio16,201.86,5.3959178330842406E-5
bio16,203.24,5.6542216043453664E-5
bio16,204.62,5.924886863795109E-5
bio16,206.0,6.208510603755713E-5
bio16,207.38,6.505710916826501E-5
bio16,208.76,6.817133544245735E-5
bio16,210.14,7.143466064007953E-5
bio16,211.52,7.485419337172061E-5
bio16,212.9,7.843736239010468E-5
bio16,214.28,8.219207666115835E-5
bio16,215.66,8.612651436123997E-5
bio16,217.04,9.02492247405462E-5
bio16,218.42,9.456931002205238E-5
bio16,219.8,9.909617074299604E-5
bio16,221.18,1.0383964399807155E-4
bio16,222.56,1.0881021444220096E-4
bio16,223.94,1.1401867959648371E-4
bio16,225.32,1.1947643361054361E-4
bio16,226.7,1.2519533629529178E-4
bio16,228.08,1.3118801871314645E-4
bio16,229.46,1.37467504828237E-4
bio16,230.84,1.4404745888896286E-4
bio16,232.22,1.5094238915480673E-4
bio16,233.6,1.5816729865036905E-4
bio16,234.98,1.6573788889218122E-4
bio16,236.36,1.736708654789254E-4
bio16,237.74,1.8198348698206246E-4
bio16,239.12,1.9069381232839078E-4
bio16,240.5,1.998210500460118E-4
bio16,241.88,2.0938506349921227E-4
bio16,243.26,2.1940663282293826E-4
bio16,244.64,2.2990784782450646E-4
bio16,246.02,2.4091156956274062E-4
bio16,247.4,2.5244164862670004E-4
bio16,248.78,2.645235799718648E-4
bio16,250.16,2.771836007013917E-4
bio16,251.54,2.9044918483123183E-4
bio16,252.92,3.0434958171099424E-4
bio16,254.3,3.1891505932435393E-4
bio16,255.68,3.34177166223526E-4
bio16,257.06,3.5016960464417934E-4
bio16,258.44,3.6692709545604885E-4
bio16,259.82,3.844862221740186E-4
bio16,261.2,4.0288528543896973E-4
bio16,262.58000000000004,4.2216398287564516E-4
bio16,263.96000000000004,4.4236527173779905E-4
bio16,265.34000000000003,4.6353277866728604E-4
bio16,266.72,4.857126623392105E-4
bio16,268.1,5.089532933197916E-4
bio16,269.48,5.333053995855153E-4
bio16,270.86,5.588214262388647E-4
bio16,272.24,5.855581839568913E-4
bio16,273.62,6.135733565315604E-4
bio16,275.0,6.429280620068312E-4
bio16,276.38,6.736861541867256E-4
bio16,277.76,7.059146882966161E-4
bio16,279.14,7.396839209832251E-4
bio16,280.52,7.750664954073727E-4
bio16,281.9,8.12141050118953E-4
bio16,283.28,8.509875042364001E-4
bio16,284.65999999999997,8.916904334910214E-4
bio16,286.03999999999996,9.343383717350662E-4
bio16,287.41999999999996,9.790241019800305E-4
bio16,288.8,0.0010258436668664217
bio16,290.18,0.001074901083484292
bio16,291.56,0.001126301707699895
bio16,292.94,0.0011801575310528278
bio16,294.32,0.0012365852016955614
bio16,295.7,0.0012957074213773012
bio16,297.08,0.0013576510827988386
bio16,298.46,0.0014225534396246076
bio16,299.84,0.001490553724579513
bio16,301.22,0.0015617994358763099
bio16,302.6,0.0016364449402317405
bio16,303.98,0.0017146520549431443
bio16,305.36,0.0017965880688279867
bio16,306.74,0.0018824341241270304
bio16,308.12,0.00197237404063344
bio16,309.5,0.0020666022319346666
bio16,310.88,0.0021653221920132637
bio16,312.26,0.002268747193738818
bio16,313.64,0.0023771007545292377
bio16,315.02,0.0024906133767217398
bio16,316.4,0.0026095351204276085
bio16,317.78,0.0027341197710484266
bio16,319.16,0.002864635083824396
bio16,320.54,0.0030013618525117636
bio16,321.92,0.003144594142213464
bio16,323.3,0.0032946355640888214
bio16,324.68,0.0034518148750066757
bio16,326.06,0.0036164657212793827
bio16,327.44,0.0037889406085014343
bio16,328.82,0.003969608340412378
bio16,330.2,0.0041588544845581055
bio16,331.58,0.004357079043984413
bio16,332.96,0.004564713221043348
bio16,334.34,0.004782194271683693
bio16,335.72,0.005009985063225031
bio16,337.1,0.0052485684864223
bio16,338.48,0.005498451646417379
bio16,339.86,0.005760156083852053
bio16,341.24,0.006034247577190399
bio16,342.62,0.006321298889815807
bio16,344.0,0.006621913984417915
bio16,345.38,0.006936725229024887
bio16,346.76,0.007266393397003412
bio16,348.14,0.007611609064042568
bio16,349.52,0.007973085157573223
bio16,350.9,0.008351592347025871
bio16,352.28,0.008747910149395466
bio16,353.66,0.009162860922515392
bio16,355.04,0.00959730427712202
bio16,356.42,0.010052136145532131
bio16,357.8,0.01052828412503004
bio16,359.18,0.011026746593415737
bio16,360.56,0.011548533104360104
bio16,361.94,0.012094708159565926
bio16,363.32,0.01266638282686472
bio16,364.7,0.013264716602861881
bio16,366.08,0.013890901580452919
bio16,367.46,0.0145462267100811
bio16,368.84,0.01523199025541544
bio16,370.22,0.015949560329318047
bio16,371.6,0.01670035906136036
bio16,372.98,0.017485875636339188
bio16,374.36,0.018307631835341454
bio16,375.74,0.019167272374033928
bio16,377.12,0.020066453143954277
bio16,378.5,0.021006911993026733
bio16,379.88,0.02199045941233635
bio16,381.26,0.02301897294819355
bio16,382.64,0.02409440651535988
bio16,384.02,0.025218762457370758
bio16,385.4,0.02639419212937355
bio16,386.78,0.027622856199741364
bio16,388.16,0.028907015919685364
bio16,389.54,0.03024902008473873
bio16,390.92,0.031651295721530914
bio16,392.3,0.03311632201075554
bio16,393.68,0.03464676812291145
bio16,395.06,0.03624529391527176
bio16,396.44,0.03791467100381851
bio16,397.82,0.039657775312662125
bio16,399.2,0.041477564722299576
bio16,400.58,0.043377041816711426
bio16,401.96,0.04535943269729614
bio16,403.34,0.047427933663129807
bio16,404.72,0.04958586022257805
bio16,406.1,0.05183662846684456
bio16,407.48,0.05418374016880989
bio16,408.86,0.05663072317838669
bio16,410.24,0.05918135493993759
bio16,411.62,0.06183933839201927
bio16,413.0,0.06460849940776825
bio16,414.38,0.06749273836612701
bio16,415.76,0.07049603760242462
bio16,417.14,0.07362242043018341
bio16,418.52,0.07687591761350632
bio16,419.9,0.08026081323623657
bio16,421.28,0.08378122001886368
bio16,422.66,0.0874413549900055
bio16,424.04,0.09124546498060226
bio16,425.42,0.09519781172275543
bio16,426.8,0.09930255264043808
bio16,428.18,0.10356412827968597
bio16,429.56,0.10798665136098862
bio16,430.94,0.11257432401180267
bio16,432.32,0.11733125150203705
bio16,433.7,0.12226150184869766
bio16,435.08,0.12736891210079193
bio16,436.46,0.13265754282474518
bio16,437.84,0.1381310224533081
bio16,439.22,0.14379289746284485
bio16,440.6,0.1496465504169464
bio16,441.98,0.15569515526294708
bio16,443.36,0.1619415581226349
bio16,444.74,0.1683887243270874
bio16,446.12,0.17503894865512848
bio16,447.5,0.18189436197280884
