X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-86.32694,32.55333,train,3.028307296834786E-4,6.205175579377378,0.16872300070512947
-81.23,25.85,train,0.0027147823033274432,82.20241533544106,0.6453332637810808
-84.0,32.0,train,0.0012848127840213164,30.8670090560255,0.4626918563352331
-81.28,28.82,train,0.002298654758385638,59.92617520636983,0.6063990266259347
-80.20972,25.77527,train,0.002731549947830515,83.0187533304966,0.6467413004513555
-77.02,34.95,train,0.001953424246364602,47.07665775741456,0.5669604250253663
-86.78,30.44,train,0.0026491424576694095,78.44864845127046,0.6397115736369308
-87.83694,32.78583,train,0.0026281656703552344,77.39253398694129,0.6378772596909171
-87.98111,30.90278,train,0.0030149265321639243,89.83704329553147,0.6689526777748273
-80.749,25.433,train,0.002552786952439636,71.18729412348571,0.6311287490552148
-86.70556,31.22694,train,0.003045900817068018,91.04919137323576,0.6712122983255907
-88.53,30.53,train,0.002110449123709425,53.34100992556343,0.5858358666048924
-97.9,29.9,train,4.6092727724519585E-4,10.398572947969951,0.23601758234971149
-86.32972,30.99778,train,0.0033952422343603815,97.78050258180423,0.6947140907061361
-82.5,28.75055,train,0.002665248162631925,78.98038285325656,0.6411073735588335
-88.98,36.67,train,5.666649489334837E-4,12.455011522399074,0.27525727139895123
-80.92555,25.14138,train,0.0025580303694212204,71.69955069746277,0.6316063112831559
-85.10889,31.09444,train,0.0019251224315008546,45.28478393641245,0.5633738476722904
-87.78889,32.82778,train,0.003038008479329023,90.74456787806501,0.6706394741257271
-87.7625,30.44639,train,0.001267887035546125,30.080999410151403,0.45939668047538373
-76.62,36.73,train,0.0019305623439086113,45.8634126189297,0.5640678311858058
-85.67528,31.06639,train,0.002280351848975925,59.29014770829104,0.6044893357398426
-88.14417,33.91472,train,0.0012478448986694775,29.429848833711162,0.4554421462246365
-99.15,30.05,train,2.0887083184324345E-4,3.5490142480593607,0.12280164598574715
-84.96667,30.01667,train,0.0021738655966621547,54.843275318949225,0.5930005495530711
-89.04556,37.15083,train,4.532419094566881E-4,10.270070728280256,0.23299921278687255
-86.22361,32.42694,train,0.001916412361994469,44.324175991057885,0.5622580688901765
-93.1,31.77,train,0.0023896347957218563,63.2612772465966,0.6156244563598091
-99.46722,29.22389,train,1.8243566156128175E-4,2.959887049520701,0.10895294160809102
-87.66666,33.23333,train,0.0014344136354269698,34.51013561341192,0.49015943988795774
-76.93861,36.68305,train,0.0020444204054805514,50.02092144807483,0.5781030026254791
-79.92,34.5,train,0.0016568726141315579,39.25757849780521,0.5261781371487662
-81.8,26.32,train,0.002756502584843607,84.39490736844596,0.6488160826694537
-81.65583,30.33194,train,0.0023554066543871703,62.54804445916192,0.6122048984214125
-92.1475,32.50944,train,0.0024009799189556058,64.21794301964056,0.6167446208665558
-99.739,29.6047,train,1.803551602431735E-4,2.9146082941536817,0.10784443622150754
-88.35,31.18139,train,0.003021277568992566,90.44066801040977,0.6694185231727565
-88.10833,33.73389,train,0.0027196352312942526,82.74506629870555,0.6457419336652434
-86.03389,31.885,train,0.0014203848344833759,33.79500842486674,0.4877035728727546
-81.47337,31.41372,train,0.0024379998773211243,65.67231795735164,0.620354815893848
-81.35,28.52,train,0.002553435892917917,71.44211974110851,0.6311879206661777
-75.54097,39.07173,train,9.268425507687723E-4,20.79988122466034,0.3831746455073553
-87.40305,32.07583,train,0.0024520901719122246,66.16133412452795,0.6217110983740604
-81.79282,31.69346,train,0.002392311256666266,63.97788207281282,0.6158893073727452
-88.2,30.78,train,0.0021010753560628355,52.708285471095074,0.5847553802964137
-86.00639,32.38167,train,0.0019345993828512134,46.24992837388664,0.5645814221748423
-84.9,30.744,train,0.002759181278145825,84.94562645188253,0.6490373651728726
-76.01638,36.77777,train,0.0019305623439086113,45.8634126189297,0.5640678311858058
-94.08,30.5,train,0.0023268541775983372,60.905425198473196,0.6093054724968574
-90.05,30.0,train,0.003315838275271301,96.1033934763749,0.689672143880217
-84.93,31.33,train,0.0012762918558292993,30.530383966872858,0.46103800276313217
-87.89111,32.51694,train,0.001963449500152948,47.42050761206133,0.568216794260652
-85.61917,31.27472,train,0.0012758892670550659,30.50680903364462,0.46095961113309497
-92.58,32.7,train,0.0015610108830375793,37.56670474487351,0.511300610276442
-85.83,30.8,train,0.002809087407090643,86.05979406159864,0.6531096261081869
-77.12,34.82472,train,0.0017258776376679824,39.92236420282813,0.536338871009426
-77.43361,37.53888,train,0.0010732743908701894,24.828015660009886,0.4183843518472186
-95.55,29.0,train,0.003221310309952712,95.12032480216467,0.6834483641072491
-81.7,28.88,train,0.0026129550346154,76.60599653507148,0.6365354410608073
-91.05222,34.64222,train,3.2140589124377147E-4,6.657070836833897,0.17723793317294614
-88.16583,31.76833,train,0.0019520296872643371,47.02879216105215,0.5667850787674444
-81.87,27.2,train,0.002696617751424152,81.6598996038619,0.6437952030131591
-94.11,30.16,train,0.0035665051360617116,98.13713831439551,0.705049962111207
-86.96306,32.43333,train,0.0018103574684526255,41.732377221090225,0.5482000666604419
