X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-87.5,33.3,train,0.002637006299131469,80.3424179300543,0.6293442300494149
-84.7,33.05,train,0.0020760538858349276,63.68192221080621,0.5720522463854676
-80.9,34.1,train,0.003732513291966794,94.67647097982265,0.7061673994796948
-86.18,33.37,train,0.0013974512929033948,39.0035952965979,0.47362708865603886
-87.01389,31.35361,train,0.0013130532434659436,34.81962637995611,0.45812716192153474
-85.017,30.502,train,0.0016674292749754751,50.11960380939691,0.5177533767339603
-88.2,30.78,train,0.002167860847000525,67.13257438824697,0.5826110244097277
-79.48,35.3,train,0.0013083060741069645,34.562772485674444,0.45722817012258204
-79.9667,32.7667,train,0.0030505500639523542,88.64942507829666,0.6626402156604662
-86.74277,31.46667,train,0.001362909748484965,38.00607521402732,0.467391903281162
-82.02,29.27,train,0.0023233941942519183,72.10596502802443,0.5993576632841506
-78.75,34.95,train,0.0019245857076770902,58.53174062663573,0.5534131700608874
-91.23,31.9,train,0.020824735394399774,100.0,0.9305973583725049
-86.6,30.57,train,0.0016388329575868334,49.127484152584366,0.5134329331652403
-87.3,33.8,train,0.0034305412148842437,92.52511299257893,0.6883632272941907
-86.79945,32.69584,train,0.0013741572255910556,38.30867479034686,0.4694383716769065
-86.44583,33.56833,train,0.0030262839906622517,87.73810412992461,0.6608525442229404
-87.21667,34.03333,train,0.002688932427351423,81.4142564526727,0.6338813976773905
-82.0,28.0,train,0.002817257778006697,83.07100770105859,0.6446316660001771
-77.009,34.7487,train,0.0031457181584294623,89.2729834488576,0.6694730036205238
-81.65583,30.33194,train,0.0024263080759856556,74.24210906744926,0.6097189708051193
-76.85599,36.82512,train,9.148037059652114E-4,19.013270266379656,0.37068355450968793
-87.61166,33.45,train,0.002789784317632891,82.78934896850076,0.642383564671034
-82.3,28.1,train,0.0019654910957640852,59.50159587886257,0.5586049964793727
-80.0,35.5,test,2.648147205429322E-4,2.872282266148483,0.145671141166684
-85.4,32.6,test,0.001991392617973677,60.88736912614842,0.5618305268881146
-85.80583,31.40028,test,0.0020490900483522076,63.112740726842404,0.5688488675226839
-87.63,32.75,test,0.0018173031057246768,55.21567763611533,0.5391978707271323
-87.8,31.68,test,0.0013016083626161265,33.779943538585655,0.4559547106967992
-85.05,30.11,test,0.00222402704077621,68.36738754547636,0.5888176669935057
-80.77,33.68,test,0.004464182490220422,96.7923326878855,0.7418959858101217
