Predictor variable,Categorical,Sample average
alt,false,31.017857142857142
bio01,false,199.375
bio03,false,44.92857142857143
bio04,false,5627.410714285715
bio05,false,327.375
bio06,false,52.17857142857143
bio07,false,275.19642857142856
bio08,false,266.60714285714283
bio09,false,161.21428571428572
bio10,false,267.30357142857144
bio11,false,123.78571428571429
bio13,false,186.875
bio15,false,35.25
bio16,false,517.5178571428571
bio18,false,511.76785714285717
triadica_sebifera_neg_avg,false,-0.4786499959882349
