Predictor variable,Categorical,Sample average
alt,false,27.660714285714285
bio01,false,201.85714285714286
bio03,false,45.357142857142854
bio04,false,5484.75
bio05,false,327.26785714285717
bio06,false,56.982142857142854
bio07,false,270.2857142857143
bio08,false,267.14285714285717
bio09,false,162.375
bio10,false,267.8392857142857
bio11,false,128.10714285714286
bio13,false,188.96428571428572
bio15,false,37.482142857142854
bio16,false,525.0714285714286
bio18,false,516.6607142857143
triadica_sebifera_neg_avg,false,-0.4793527469903763
