Predictor variable,Categorical,Sample average
alt,false,30.053571428571427
bio01,false,199.64285714285714
bio03,false,44.785714285714285
bio04,false,5608.928571428572
bio05,false,326.76785714285717
bio06,false,53.214285714285715
bio07,false,273.55357142857144
bio08,false,266.57142857142856
bio09,false,160.35714285714286
bio10,false,267.3392857142857
bio11,false,124.35714285714286
bio13,false,187.25
bio15,false,35.25
bio16,false,518.9642857142857
bio18,false,512.0892857142857
triadica_sebifera_neg_avg,false,-0.48262822897439556
