Predictor variable,Categorical,Sample average
alt,false,27.678571428571427
bio01,false,201.23214285714286
bio03,false,45.160714285714285
bio04,false,5518.892857142857
bio05,false,327.10714285714283
bio06,false,55.92857142857143
bio07,false,271.17857142857144
bio08,false,266.875
bio09,false,162.51785714285714
bio10,false,267.69642857142856
bio11,false,127.03571428571429
bio13,false,188.5
bio15,false,36.660714285714285
bio16,false,523.6428571428571
bio18,false,515.3035714285714
triadica_sebifera_neg_avg,false,-0.4800878190102854
