Predictor variable,Categorical,Sample average
alt,false,28.357142857142858
bio01,false,201.17857142857142
bio03,false,45.017857142857146
bio04,false,5532.982142857143
bio05,false,327.125
bio06,false,55.82142857142857
bio07,false,271.30357142857144
bio08,false,267.07142857142856
bio09,false,162.57142857142858
bio10,false,267.85714285714283
bio11,false,126.91071428571429
bio13,false,187.625
bio15,false,36.19642857142857
bio16,false,521.1607142857143
bio18,false,513.4464285714286
triadica_sebifera_neg_avg,false,-0.4856346416220601
