Predictor variable,Categorical,Sample average
alt,false,27.571428571428573
bio01,false,201.28571428571428
bio03,false,45.035714285714285
bio04,false,5518.892857142857
bio05,false,326.9107142857143
bio06,false,56.107142857142854
bio07,false,270.80357142857144
bio08,false,266.98214285714283
bio09,false,161.48214285714286
bio10,false,267.73214285714283
bio11,false,127.125
bio13,false,186.875
bio15,false,36.607142857142854
bio16,false,518.9107142857143
bio18,false,511.26785714285717
triadica_sebifera_neg_avg,false,-0.4863213717471808
