Predictor variable,Categorical,Sample average
alt,false,29.107142857142858
bio01,false,202.07142857142858
bio03,false,45.410714285714285
bio04,false,5480.0
bio05,false,327.375
bio06,false,56.892857142857146
bio07,false,270.48214285714283
bio08,false,267.2142857142857
bio09,false,163.41071428571428
bio10,false,267.98214285714283
bio11,false,128.375
bio13,false,187.89285714285714
bio15,false,36.982142857142854
bio16,false,520.7857142857143
bio18,false,512.6607142857143
triadica_sebifera_neg_avg,false,-0.48783955111035276
