Predictor variable,Categorical,Sample average
alt,false,30.053571428571427
bio01,false,199.44642857142858
bio03,false,45.017857142857146
bio04,false,5615.375
bio05,false,327.5892857142857
bio06,false,51.964285714285715
bio07,false,275.625
bio08,false,266.51785714285717
bio09,false,161.05357142857142
bio10,false,267.25
bio11,false,124.05357142857143
bio13,false,187.39285714285714
bio15,false,35.94642857142857
bio16,false,520.4285714285714
bio18,false,512.7678571428571
triadica_sebifera_neg_avg,false,-0.4754240873735398
