Predictor variable,Categorical,Sample average
alt,false,29.267857142857142
bio01,false,200.875
bio03,false,45.19642857142857
bio04,false,5541.964285714285
bio05,false,327.3392857142857
bio06,false,54.892857142857146
bio07,false,272.44642857142856
bio08,false,266.9107142857143
bio09,false,162.30357142857142
bio10,false,267.69642857142856
bio11,false,126.39285714285714
bio13,false,186.73214285714286
bio15,false,36.517857142857146
bio16,false,517.9285714285714
bio18,false,509.30357142857144
triadica_sebifera_neg_avg,false,-0.4774189079512975
