Predictor variable,Categorical,Sample average
alt,false,30.696428571428573
bio01,false,200.64285714285714
bio02,false,124.32142857142857
bio03,false,45.30357142857143
bio04,false,5545.714285714285
bio05,false,327.57142857142856
bio06,false,54.375
bio07,false,273.19642857142856
bio08,false,266.8392857142857
bio09,false,162.33928571428572
bio10,false,267.44642857142856
bio11,false,126.07142857142857
bio12,false,1352.6785714285713
bio13,false,185.76785714285714
bio14,false,61.92857142857143
bio15,false,36.464285714285715
bio16,false,515.3571428571429
bio17,false,217.32142857142858
bio18,false,509.5357142857143
bio19,false,272.375
