Predictor variable,Categorical,Sample average
alt,false,30.142857142857142
bio01,false,201.05357142857142
bio02,false,123.48214285714286
bio03,false,45.232142857142854
bio04,false,5543.857142857143
bio05,false,327.1607142857143
bio06,false,55.232142857142854
bio07,false,271.92857142857144
bio08,false,267.0357142857143
bio09,false,163.30357142857142
bio10,false,267.82142857142856
bio11,false,126.625
bio12,false,1372.1964285714287
bio13,false,188.5
bio14,false,64.01785714285714
bio15,false,36.30357142857143
bio16,false,521.1071428571429
bio17,false,223.14285714285714
bio18,false,514.4285714285714
bio19,false,277.76785714285717
