Predictor variable,Categorical,Sample average
alt,false,45.759803921568626
bio01,false,200.0686274509804
bio02,false,119.11497326203208
bio03,false,42.47905525846702
bio04,false,5854.646613190731
bio05,false,330.69741532976826
bio06,false,51.970588235294116
bio07,false,278.7268270944742
bio08,false,246.18360071301248
bio09,false,168.30436720142603
bio10,false,270.8382352941176
bio11,false,121.44073083778966
bio12,false,1318.4407308377897
bio13,false,171.3850267379679
bio14,false,63.48440285204991
bio15,false,32.26336898395722
bio16,false,473.86586452762924
bio17,false,226.34046345811052
bio18,false,443.6729055258467
bio19,false,281.4050802139037
