Predictor variable,Categorical,Sample average
alt,false,45.99108734402852
bio01,false,199.74197860962568
bio02,false,119.29010695187166
bio03,false,42.45409982174688
bio04,false,5870.041443850268
bio05,false,330.6613190730838
bio06,false,51.4126559714795
bio07,false,279.2486631016043
bio08,false,245.06060606060606
bio09,false,168.58333333333334
bio10,false,270.725935828877
bio11,false,120.93181818181819
bio12,false,1322.036541889483
bio13,false,171.34536541889483
bio14,false,63.74197860962567
bio15,false,32.06283422459893
bio16,false,473.92245989304814
bio17,false,227.5922459893048
bio18,false,443.25445632798574
bio19,false,284.0138146167558
