Predictor variable,Categorical,Sample average
alt,false,44.839572192513366
bio01,false,200.0115864527629
bio02,false,119.11274509803921
bio03,false,42.462566844919785
bio04,false,5856.618092691622
bio05,false,330.6180926916221
bio06,false,51.89705882352941
bio07,false,278.7210338680927
bio08,false,245.975935828877
bio09,false,168.02183600713013
bio10,false,270.7945632798574
bio11,false,121.36185383244207
bio12,false,1321.5726381461675
bio13,false,171.45766488413548
bio14,false,63.70409982174688
bio15,false,32.15819964349376
bio16,false,474.38101604278074
bio17,false,227.44385026737967
bio18,false,444.41532976827096
bio19,false,282.9095365418895
