Predictor variable,Categorical,Sample average
alt,false,44.67245989304813
bio01,false,199.87878787878788
bio02,false,119.09848484848484
bio03,false,42.42112299465241
bio04,false,5865.144830659537
bio05,false,330.63279857397504
bio06,false,51.68449197860963
bio07,false,278.9483065953654
bio08,false,245.41042780748663
bio09,false,168.40017825311944
bio10,false,270.79367201426027
bio11,false,121.13235294117646
bio12,false,1323.7428698752228
bio13,false,171.32219251336898
bio14,false,63.949643493761144
bio15,false,31.927807486631018
bio16,false,473.96434937611406
bio17,false,228.13903743315507
bio18,false,443.88413547237076
bio19,false,284.55570409982175
