Predictor variable,Categorical,Sample average
alt,false,45.762477718360074
bio01,false,199.93805704099822
bio02,false,119.18716577540107
bio03,false,42.46345811051693
bio04,false,5860.866310160428
bio05,false,330.68048128342247
bio06,false,51.76426024955437
bio07,false,278.9162210338681
bio08,false,245.44875222816398
bio09,false,168.2892156862745
bio10,false,270.801247771836
bio11,false,121.24732620320856
bio12,false,1322.2553475935829
bio13,false,171.49108734402853
bio14,false,63.7722816399287
bio15,false,32.10071301247772
bio16,false,473.94786096256684
bio17,false,227.352495543672
bio18,false,443.8418003565062
bio19,false,283.7901069518717
