Predictor variable,Categorical,Sample average
alt,false,29.696428571428573
bio01,false,199.17857142857142
bio02,false,124.05357142857143
bio03,false,44.94642857142857
bio04,false,5620.214285714285
bio05,false,326.89285714285717
bio06,false,52.19642857142857
bio07,false,274.69642857142856
bio08,false,266.39285714285717
bio09,false,160.89285714285714
bio10,false,267.07142857142856
bio11,false,123.76785714285714
bio12,false,1361.25
bio13,false,185.125
bio14,false,63.517857142857146
bio15,false,35.392857142857146
bio16,false,513.125
bio17,false,222.82142857142858
bio18,false,505.5357142857143
bio19,false,278.4107142857143
triadica_sebifera_neg_avg,false,-0.4549978920757504
