Predictor variable,Categorical,Sample average
alt,false,29.107142857142858
bio01,false,199.21428571428572
bio02,false,123.67857142857143
bio03,false,44.857142857142854
bio04,false,5632.339285714285
bio05,false,326.69642857142856
bio06,false,52.32142857142857
bio07,false,274.375
bio08,false,266.42857142857144
bio09,false,160.96428571428572
bio10,false,267.26785714285717
bio11,false,123.67857142857143
bio12,false,1369.6785714285713
bio13,false,187.16071428571428
bio14,false,64.69642857142857
bio15,false,35.67857142857143
bio16,false,518.3928571428571
bio17,false,223.85714285714286
bio18,false,510.7142857142857
bio19,false,279.6607142857143
triadica_sebifera_neg_avg,false,-0.45930037379730493
