Predictor variable,Categorical,Sample average
alt,false,28.714285714285715
bio01,false,200.48214285714286
bio02,false,123.07142857142857
bio03,false,45.089285714285715
bio04,false,5536.660714285715
bio05,false,326.75
bio06,false,54.94642857142857
bio07,false,271.80357142857144
bio08,false,266.48214285714283
bio09,false,160.71428571428572
bio10,false,267.25
bio11,false,126.08928571428571
bio12,false,1350.5535714285713
bio13,false,185.35714285714286
bio14,false,62.392857142857146
bio15,false,36.67857142857143
bio16,false,515.75
bio17,false,218.07142857142858
bio18,false,507.0892857142857
bio19,false,269.14285714285717
triadica_sebifera_neg_avg,false,-0.4553465731275667
