Predictor variable,Categorical,Sample average
alt,false,29.839285714285715
bio01,false,199.875
bio02,false,123.69642857142857
bio03,false,45.05357142857143
bio04,false,5573.875
bio05,false,327.17857142857144
bio06,false,53.642857142857146
bio07,false,273.5357142857143
bio08,false,266.44642857142856
bio09,false,161.21428571428572
bio10,false,267.19642857142856
bio11,false,125.01785714285714
bio12,false,1365.125
bio13,false,186.08928571428572
bio14,false,63.875
bio15,false,35.714285714285715
bio16,false,515.8928571428571
bio17,false,221.375
bio18,false,507.92857142857144
bio19,false,274.55357142857144
triadica_sebifera_neg_avg,false,-0.4519068939178916
