Predictor variable,Categorical,Sample average
alt,false,29.785714285714285
bio01,false,201.85714285714286
bio02,false,123.46428571428571
bio03,false,45.285714285714285
bio04,false,5497.035714285715
bio05,false,327.64285714285717
bio06,false,56.57142857142857
bio07,false,271.07142857142856
bio08,false,267.30357142857144
bio09,false,163.07142857142858
bio10,false,268.05357142857144
bio11,false,128.01785714285714
bio12,false,1358.482142857143
bio13,false,186.96428571428572
bio14,false,62.55357142857143
bio15,false,36.910714285714285
bio16,false,519.25
bio17,false,218.03571428571428
bio18,false,510.60714285714283
bio19,false,271.73214285714283
triadica_sebifera_neg_avg,false,-0.48159655241761357
