Predictor variable,Categorical,Sample average
Triadica_sebifera_avg,false,0.4701642127807385
alt,false,29.053571428571427
bio01,false,199.82142857142858
bio02,false,124.28571428571429
bio03,false,45.035714285714285
bio04,false,5603.767857142857
bio05,false,327.48214285714283
bio06,false,52.857142857142854
bio07,false,274.625
bio08,false,266.75
bio09,false,162.5
bio10,false,267.44642857142856
bio11,false,124.57142857142857
bio12,false,1352.375
bio13,false,185.58928571428572
bio14,false,62.964285714285715
bio15,false,35.910714285714285
bio16,false,513.8214285714286
bio17,false,219.21428571428572
bio18,false,507.4107142857143
bio19,false,275.2857142857143
