X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-88.11667,30.76667,train,2.653377478072298E-4,9.528735173077532,0.19825109536919097
-87.42220077,30.39656388,train,2.898158604785433E-4,10.426569139155824,0.21265107003767292
-86.40061029,30.5843998,train,0.0017046539410468873,65.84439839431337,0.6136907164691087
-86.198105,30.511074,train,0.0025890363030765923,83.23080115910234,0.7069830803782022
-85.46080016,30.51680774,train,0.003396079209431108,88.68017339296215,0.7598965165877751
-84.88308346,30.24113757,train,0.004550240685813415,95.02835558724522,0.8091769077299321
-84.72297853,30.49703541,train,0.002655888934196718,83.76156841192397,0.7122362980499201
-84.62868539,29.86242252,train,0.0019529528625419565,73.64165542697619,0.6453893093642616
-84.62140409,30.41037485,train,0.0035782284955214265,91.4819624823306,0.7692992291832261
-84.61353416,30.57974529,train,0.0016214352097459702,61.34049153510089,0.6017596383036247
-84.60510791,30.45374798,train,0.003691259373915738,92.21677914953298,0.7747724853428721
-84.57482016,29.91607486,train,0.0017006467254013502,65.3316224057922,0.6131326085740284
-84.57239935,30.15138439,train,0.006977347718478396,99.99999831037515,0.8667079541625685
-84.52486402,29.91831037,train,0.002683778212709556,84.56289698201115,0.7143725448414003
-84.52149889,30.25180912,train,0.005860753471858108,98.6987586297575,0.8452431068394837
-84.44,30.41,train,0.004927784752002233,96.46794671790599,0.8211825826070214
-84.40394371,30.17056524,train,0.00572644213560537,97.53786806133579,0.8421861739603116
-84.27766976,30.45845973,train,0.003640639718424015,91.84765613444797,0.7723538008793875
-84.1686615,30.26655552,train,0.0035779009893327956,91.12684370109224,0.7692829839345219
-83.89531977,30.43808791,train,0.002881323893686359,86.80341760459997,0.7286414041096629
-83.66285031,30.41345043,train,0.0020698898931998714,75.85366401366134,0.6585830267113855
-83.61275437,30.20874941,train,0.002391064164674316,81.2260311975259,0.6902373536275084
-83.60258136,30.04770357,train,0.0018626651961071048,70.77913449359859,0.6344833053724358
-83.1576994,29.61097348,train,2.3332911759589673E-4,8.509777267167982,0.17860687906286005
-82.93832911,30.459042,train,0.0011910414992644515,42.11612077837599,0.5260560727880039
-82.55085002,30.24513989,train,0.0014778281212162873,55.38353541555174,0.5793398937438595
-82.38367168,30.33400462,train,0.001370033999699185,50.78316833724854,0.5607794998526344
-82.35765391,29.67504052,train,0.0016098493904337157,61.01671293051853,0.6000398820618276
-82.30617568,27.93124806,train,0.0017012836712945315,65.50380944540822,0.6132214274463528
-82.25,27.33333333,train,0.003059089255643568,88.003124639426,0.7403152859427472
-82.22,31.05,train,7.130105461394964E-4,25.62662144446599,0.39920747015041647
-82.21431066,29.72415914,train,0.001877779553697018,71.5728980366716,0.6363555048086187
-82.2,31.1,train,7.002138359125734E-4,25.318680460964885,0.39487187843679145
-82.14561258,27.76992068,train,0.0016989121662991699,64.82371866540132,0.6128905261779719
-82.04131472,29.492548,train,0.0021469417190619765,76.90518706992503,0.666752850094433
-81.95719,30.78187,train,9.562578445595274E-4,32.58874399164249,0.4712225807939377
-81.89996609,27.22743298,train,0.0017718561086222796,69.07848310583711,0.6228160718566691
-81.89,29.22,train,0.0017325897457789738,67.0471877727589,0.6175371985615479
-81.85049092,27.47830442,train,0.0014506226654995475,54.055836989819824,0.5748051419846008
-81.82000221,29.62477095,train,0.0021527241183204654,77.3355367063335,0.6673502153337524
-81.81273977,29.64743146,train,0.00187629748156376,71.52755537696488,0.636172770649075
-81.69766746,27.94876075,train,9.315341324005465E-4,31.83152465120069,0.46470087360477363
-81.34080194,27.34352073,train,0.0011755173288938653,41.31502337446976,0.5227839576303505
-81.32363631,28.51432539,train,0.0013372831078608343,48.85120669519072,0.5548115132580176
-81.31277778,26.92777778,train,7.331620284353683E-4,25.939652079846123,0.40591035388984675
-81.29777778,28.78277778,train,0.001260558903771026,44.821506114513554,0.5401746711472326
-81.16179425,29.04603394,train,0.0025134335439435207,82.46551963203643,0.7008063172763268
-80.97045732,28.12301644,train,0.0019520631590684075,73.6121070877514,0.6452850164444601
-80.85805556,28.65,train,8.525947338641956E-4,30.10847225080302,0.44275700746980556
-80.7289,32.8213,train,4.692658147974321E-4,17.216336149816602,0.3042596156447516
-80.67101887,32.869307,train,4.972590492241041E-4,18.48994345204758,0.3166622485600036
-80.5125,27.79694444,train,4.251115405912433E-4,15.47186135680921,0.2837546055548884
-78.73,34.78,train,2.504979013890177E-4,9.050864893388113,0.18926178013486697
-77.93,35.53,train,6.076273816863403E-5,2.327334834868773,0.053591294154636177
-77.03,34.95,train,3.1502311880335045E-4,11.305583573110747,0.2269491944766151
-77.0,34.92,train,6.635548909851355E-4,24.50390801255256,0.3820979308834866
-86.577952,30.450498,test,8.665321117046992E-4,30.298455531801565,0.4467612141973612
-81.10444444,29.33944444,test,6.983692491989356E-4,25.25046412985143,0.39424175747656093
-81.4465,28.164167,test,0.0015770388928840918,60.10956029564846,0.5950880226145095
-81.31202911,29.46225054,test,0.0015055353661910477,56.9555314714515,0.5838599348496004
-84.23434754,30.87515641,test,2.4797063488784095E-4,8.974675467126477,0.18771074878481928
-82.33157347,30.34937058,test,0.001339390944622388,49.04992615539378,0.5552004897729821
-77.9333,34.2167,test,5.577679755269491E-4,19.975333321436132,0.34201634557407834
-84.54251724,29.99944501,test,0.0023156461145404294,80.11166781335123,0.68334335595622
-78.0833333,34.0166667,test,0.0011921265079178128,42.18367039497439,0.5262830891893796
-81.71068864,28.76303674,test,9.38884222830106E-4,32.05308246156517,0.4666564484725857
-81.29998,28.75356,test,0.0012656375300586808,45.04571099125769,0.5411732125878808
