Predictor variable,Categorical,Sample average
Triadica_sebifera_avg,false,0.46053581909343067
alt,false,29.607142857142858
bio01,false,200.21428571428572
bio02,false,124.44642857142857
bio03,false,45.25
bio04,false,5557.732142857143
bio05,false,327.48214285714283
bio06,false,53.67857142857143
bio07,false,273.80357142857144
bio08,false,266.55357142857144
bio09,false,161.03571428571428
bio10,false,267.19642857142856
bio11,false,125.48214285714286
bio12,false,1340.7142857142858
bio13,false,184.55357142857142
bio14,false,61.69642857142857
bio15,false,36.69642857142857
bio16,false,513.3392857142857
bio17,false,214.58928571428572
bio18,false,506.48214285714283
bio19,false,267.92857142857144
