Predictor variable,Categorical,Sample average
Triadica_sebifera_avg,false,0.46441097835278405
alt,false,29.964285714285715
bio01,false,200.35714285714286
bio02,false,123.60714285714286
bio03,false,45.07142857142857
bio04,false,5564.25
bio05,false,327.19642857142856
bio06,false,54.25
bio07,false,272.94642857142856
bio08,false,266.76785714285717
bio09,false,162.0
bio10,false,267.4107142857143
bio11,false,125.58928571428571
bio12,false,1359.392857142857
bio13,false,185.125
bio14,false,63.517857142857146
bio15,false,35.94642857142857
bio16,false,514.8571428571429
bio17,false,221.05357142857142
bio18,false,508.01785714285717
bio19,false,274.625
